sample,category
இவன் ஒரு இனவாதி,politics
Musamil avan oru sakkiliyen naai,politics
Nee  ellam  nadihan,politics
Muzamil எப்பவும் கள்ளன் தான்,politics
முதலில் உன்னை திருத்து ஜீவனை திருத்தாதே நீ ஐக்கிய தேசிய கட்சியா தமிழ்த் தேசியக் கூட்டமைப்பா,politics
இவனெல்லாம் ஒரு ஆளு,politics
Well scripted 😂 Dai potta find some other job,gender
Kunji available,gender
Matal thirunagai,gender
மண்டை ஆளும் இருக்குடி உங்களுக்கு,politics
இது ஒரு ஹார்மோன் பிரச்சனை தானே தவிர நீங்கள் பெண்கள் அல்ல நீங்கள் ஆண்களாக தான் வாழ வேண்டும் அதுதான் சரியானது,gender
Ithu oru loose,religion
Sooopu,religion
இது உங்களை போன்ற நபர்கள் கூறுவது தவறான முன்னுதாரணம் ஆகும்,religion
Ethu oru lusu mu,religion
நீ எதை ஏற்றாற்போல் யாருக்கு என்ன பயன் டி,religion
India vantha soothuku Ena pannuva eneeme,religion
video pottu வைத்த கழுவிகுவாங்க,religion
பொண்ணை குத்திக்கு புத்தா,gender
Enna boxsa illati ponsa,gender
Nee 9 da,gender
Yaaru vaapa nee,gender
All 9 in one frame 😂,gender
Pons சங்கமம் 🤣🤣🤣,gender
Vellore bus stand la adichi pudunguthunga 😭😭,gender
ஊட்டியில் பயணியை பணம் கேட்டு 
பெரும் தகராறு செய்தது,gender
Ennnada Idelam <cm> bridge killa poi inda interview edutu irrukalam,gender
ivarkal.pirakkum.pothu.aana.penna.etarkku.thirunankai.aanargal.ulagil.aann.pen.irandu.palinam.ivargal.entha.inam.,gender
முஹம்மதே ஒரு பாலைவன போலிச் சாமியார் தானே.,religion
அதே தான்... எங்க இயேசுவும்  போலி சாமியார் தானுங்கோ 😂 ....,religion
Evanai ethukku unkakuuda vachserukkenka,politics
Ivanukku pinnukku nikkaathinga sir,politics
Elam posaporiyala,politics
சுத்நுமாத்து சுமத்திரன்,politics
இவன் பேச்சை தமிழர்களே கேட்பதில்லை,politics
ஜாதி ஒழியனும்னா சிறுவயசிலேயே நஞ்சை புகுத்தும் பெற்றோரிடமிருந்து பிள்ளைகளை பிரிக்கனும்,ethnicity
யாருடா இவன் கோமாளி😂,other
யார் இந்த comali,other
Dey komali,other
Ivan yaruda komali,other
