,Unnamed: 0,Group Name,Articles,HS Words,isTamil
0,0,lellahutanpage,"අදින් විශ්‍රාම යන ජෙනරාල් ශවේන්ද්‍ර සිල්වා මහත්මයා මම දකින්නේ හමුදාවෙන් පිට එලියේ මිනිස්සු එක්ක මාධ්‍ය එක්ක හොඳට වැඩ කරන්න පුලුවන් අතලොස්සක් වූ හමුදා නිලධාරීන්ගෙන් කෙනෙක් විදියට..

යුද්ධය කාලේ ප්‍රධාන ප්‍රහාරක සේනාංක 5ක් වන්නි මානුෂිය මෙහෙයුමට එකතුවුනා. ඒ සේනාංකයක් මෙහෙයවපු ලාබාලම සේනාංකාධිපතිතුමා වුනේ එවකට බ්‍රිගේඩියර් ශ්‍රවේන්ද්‍ර සිල්වා මහත්මයා. එතුමා අණදීපු 58 වෙනි සේනාංකය තමා වන්නි මෙහෙයුමේ වැඩිම දුරක් ගියපු සේනාංකය. මන්නාරම සහල් නැලිය, මඩු පල්ලිය, වෙල්ලන්කුලම් හරහා සම්පූර්ණ මන්නාරම මුහුදුතීරය, පුනරීන්, පරන්තන් හරහා පුදුකුඩුඉරිප්පු වෙනකන් ආවා. මේ සේනාංකය තමා ඒ කාලේ රටේ ජනප්‍රියම සේනාංකයත් උනේ. නිතරම යුධ බිමේ මාධ්‍යවේදින් එක්ක සුහදව ඉඳපු ශවේන්ද්‍ර සිල්වා මහත්මයා නිසා මාධ්‍ය ආවරණය හොඳටම සිදුවුනේ 58 ගමන ගැන.

යුද්ධය සාර්ථකව අවසන් කලට පස්සේ එල්ලවුන මානව හිමිකම් චෝදනාවලට පිලිතුරු දෙන්න ඔහු එක්සත් ජාතින්ගේ සංවිධානයට ලංකාවේ නියෝජිතයා විදියටත් සහභාගි වුනා. එතනත් ඔහුගේ තිබ්බ සිවිල් සමාජය ජාත්‍යන්තරය මාධ්‍ය එක්ක ගණුදෙනු කිරීමේ හැකියාව පෙන්නුම් කලා.

ඊලඟට ඔහු ශ්‍රී ලංකා යුධ හමුදාවේ යුධ හමුදාපති පුටුවට පත්වෙනවා. නැවත වරක් ඔහුට ලොකු අභියෝගයක් ලැබෙනවා ලංකාවට කොරෝනා වසංගතය එන එකත් එක්ක. එහිදී කොරෝනා මර්ධන ඒකකයේ නායකයා ලෙස විවිධ ක්ශේත්‍රවල පිරිස් සහභාගිත්වයෙන් කොරෝනා මර්ධන වැඩපිලිවෙලට නායකත්වය දෙනවා. විශේෂයෙන්ම නිරෝධායන කටයුතු සඳහ යුධ හමුදාව විශිෂ්ඨ දායකත්වයක් දෙනවා.

කොරෝනාවෙන් රට බේරා ගැනීමේ එන්නත්කරණ වැඩ පිලිවෙල restart කරනකොට සිනොෆාර්ම් එන්නතින් රටේ සෞඛ්‍ය අංශ සමහරක් එන්නත් ක්‍රියාවලියෙන් ඉවත් වෙනවා. ඒ වෙලේදි මෙතුමා හමුදාව එක්කාසු කරන් දිවයින පුරා දැවන්ත එන්නත්කරණ වැඩ පිලිවෙලක් සංවිධානය කිරීම නිසාම වර්ජනයත් අන්තිමේදී නවතිනවා. මෙ හැම අවසථාවකම මාධ්‍ය එක්ක වෛද්‍යවරුන් එක්ක තානාපතිවරුන් එක්ක ගණුදෙනු කරලා අර මම මුලින් කිව්ව diplomatic skills පෙන්නවා.

මේ මම දැක්ක ශවේන්ද්‍ර සිල්වා.. මම දැක්කේ රණබිමේ වීරත්වය පමණක්ම නෙමේ. එතනින් එහා ගිය diplomatic skills හොඳට තියෙන නිලධාරියෙක්.

ඔහු අපේ රටේ බෞද්ධයන් වෙනුවෙන් නැවත කුරගල ගොඩනැගීමටත්, උතුරේ නැගෙනහිර විහාරස්ථාන දියුණු කරන්නත් සැලකියයුතු දායකත්වයක් ලබා දුන්නා.

අද දින හමුදා සේවයට හා ගජබා රෙජිමේන්තුවට විශ්‍රම දෙන ඔබතුමාට ශ්‍රී ලාංකිකයෙක් විදියට ස්තූති කරනවා රට ජාතිය ආගම වෙනුවෙන් කල සේවයට..

- Vinod bhanuka",0,True
1,1,lellahutanpage,😁😁,0,True
2,2,Gangsterrathne,"අදින් විශ්‍රාම යන ජෙනරාල් ශවේන්ද්‍ර සිල්වා මහත්මයා මම දකින්නේ හමුදාවෙන් පිට එලියේ මිනිස්සු එක්ක මාධ්‍ය එක්ක හොඳට වැඩ කරන්න පුලුවන් අතලොස්සක් වූ හමුදා නිලධාරීන්ගෙන් කෙනෙක් විදියට..

යුද්ධය කාලේ ප්‍රධාන ප්‍රහාරක සේනාංක 5ක් වන්නි මානුෂිය මෙහෙයුමට එකතුවුනා. ඒ සේනාංකයක් මෙහෙයවපු ලාබාලම සේනාංකාධිපතිතුමා වුනේ එවකට බ්‍රිගේඩියර් ශ්‍රවේන්ද්‍ර සිල්වා මහත්මයා. එතුමා අණදීපු 58 වෙනි සේනාංකය තමා වන්නි මෙහෙයුමේ වැඩිම දුරක් ගියපු සේනාංකය. මන්නාරම සහල් නැලිය, මඩු පල්ලිය, වෙල්ලන්කුලම් හරහා සම්පූර්ණ මන්නාරම මුහුදුතීරය, පුනරීන්, පරන්තන් හරහා පුදුකුඩුඉරිප්පු වෙනකන් ආවා. මේ සේනාංකය තමා ඒ කාලේ රටේ ජනප්‍රියම සේනාංකයත් උනේ. නිතරම යුධ බිමේ මාධ්‍යවේදින් එක්ක සුහදව ඉඳපු ශවේන්ද්‍ර සිල්වා මහත්මයා නිසා මාධ්‍ය ආවරණය හොඳටම සිදුවුනේ 58 ගමන ගැන.

යුද්ධය සාර්ථකව අවසන් කලට පස්සේ එල්ලවුන මානව හිමිකම් චෝදනාවලට පිලිතුරු දෙන්න ඔහු එක්සත් ජාතින්ගේ සංවිධානයට ලංකාවේ නියෝජිතයා විදියටත් සහභාගි වුනා. එතනත් ඔහුගේ තිබ්බ සිවිල් සමාජය ජාත්‍යන්තරය මාධ්‍ය එක්ක ගණුදෙනු කිරීමේ හැකියාව පෙන්නුම් කලා.

ඊලඟට ඔහු ශ්‍රී ලංකා යුධ හමුදාවේ යුධ හමුදාපති පුටුවට පත්වෙනවා. නැවත වරක් ඔහුට ලොකු අභියෝගයක් ලැබෙනවා ලංකාවට කොරෝනා වසංගතය එන එකත් එක්ක. එහිදී කොරෝනා මර්ධන ඒකකයේ නායකයා ලෙස විවිධ ක්ශේත්‍රවල පිරිස් සහභාගිත්වයෙන් කොරෝනා මර්ධන වැඩපිලිවෙලට නායකත්වය දෙනවා. විශේෂයෙන්ම නිරෝධායන කටයුතු සඳහ යුධ හමුදාව විශිෂ්ඨ දායකත්වයක් දෙනවා.

කොරෝනාවෙන් රට බේරා ගැනීමේ එන්නත්කරණ වැඩ පිලිවෙල restart කරනකොට සිනොෆාර්ම් එන්නතින් රටේ සෞඛ්‍ය අංශ සමහරක් එන්නත් ක්‍රියාවලියෙන් ඉවත් වෙනවා. ඒ වෙලේදි මෙතුමා හමුදාව එක්කාසු කරන් දිවයින පුරා දැවන්ත එන්නත්කරණ වැඩ පිලිවෙලක් සංවිධානය කිරීම නිසාම වර්ජනයත් අන්තිමේදී නවතිනවා. මෙ හැම අවසථාවකම මාධ්‍ය එක්ක වෛද්‍යවරුන් එක්ක තානාපතිවරුන් එක්ක ගණුදෙනු කරලා අර මම මුලින් කිව්ව diplomatic skills පෙන්නවා.

මේ මම දැක්ක ශවේන්ද්‍ර සිල්වා.. මම දැක්කේ රණබිමේ වීරත්වය පමණක්ම නෙමේ. එතනින් එහා ගිය diplomatic skills හොඳට තියෙන නිලධාරියෙක්.

ඔහු අපේ රටේ බෞද්ධයන් වෙනුවෙන් නැවත කුරගල ගොඩනැගීමටත්, උතුරේ නැගෙනහිර විහාරස්ථාන දියුණු කරන්නත් සැලකියයුතු දායකත්වයක් ලබා දුන්නා.

අද දින හමුදා සේවයට හා ගජබා රෙජිමේන්තුවට විශ්‍රම දෙන ඔබතුමාට ශ්‍රී ලාංකිකයෙක් විදියට ස්තූති කරනවා රට ජාතිය ආගම වෙනුවෙන් කල සේවයට..

- Vinod bhanuka",0,True
3,3,Gangsterrathne,"🥲

The Gemcity Journal
Yesterday at 18:01 ·

😍😍",0,True
4,4,buwaSL,අද 🥰,0,True
5,5,buwaSL,😥,0,True
6,6,buwaSL,🥴,0,True
7,7,buwaSL,😂,0,True
8,8,buwaSL,"✅කංචන විජේසේකර-බලශක්ත
ි
✅ප්‍රසන්න රණතුංග-නිවාස
✅දිනේශ් ගුණවර්ධන-පරිපාල
න
✅ජී.එල්.පීරිස්-ව
ිදේශ කටයුතු

⏬⏬⏬⏬⏬⏬⏬⏬⏬
✔️විජේදාස රාජපක්ෂ - අධිකරණ
✔️මහින්ද අමරවීර- කෘෂිකර්ම
✔️සුසිල් ප්‍රෙමජයන්ත-අධ්‍යාපන
✔️නිමල් සිරිපාල ද සිල්වා-සෞඛ්‍ය
✔️හරීන් ප්‍රනාන්දු- සංචාරක
✔️මනූෂ නානයක්කාර-විදේශ
රැකියා...",0,True
9,9,buwaSL,"▶️හෙට අත්‍යාවශ්‍ය අය පමණක් වැඩට එන්න-අගමැති
▶️අද පෙට්‍රල් 92-95 නැවක් ගොඩ බෑම ආරම්බ කරයි-තෙල් සංස්ථාව
▶️ඉරිදා දිනය වන විට තෙල් පෝලිම් නැති වෙයි-අගමැති
▶️මංත්‍රීවරුන්ටත් ඉන්ධන දෙන්නේ වත්මන් මිලටමයි-බලශක්ති
ඇමති
▶️ඔටෝ ඩීසල් සහ සුපර් ඩීසල් නොකඩවා ලබා දීමට සූදානම්-අගමැති
▶️ඉරිදා සිට ජුනි මැද දක්වා පෙට්‍රල් නොඩවා ලැබෙයි-අගමැති
▶️කොළඹ සියලු රජයේ ඉඩම් වගාවට-අගමැති
▶️ලංකාවෙ දේශපාලන ස්ථාවරවීමත් සමඟ බැදුම්කර වටිනාකම ඉහලට- ඇමරිකානු ප්‍රමුඛතම ආයෝජන බැංකුවක් වන ජේ.පී මෝගන්
▶️කුඹුරු වැඩ සදහා අවශ්‍ය ට්‍...",0,True
