,Group Name,Articles,HS Words
0,lellahutanpage,"චන්ඩි වගේ වාහන කුඩු කරද්දි, ගෙවල් ගිණි තියද්දි ලඟ හිටපු ගොඩක් එවුන් දැන් උඹලව පොලීසීයෙන් කුදලගන යනකොට ලඟ නෑ නේද ?",0
1,lellahutanpage,"අරගලය ගිහින් තියෙන තැන 🙂

ඇයි මිනිසුනේ වෛරය මෙතරම් ප්‍රේමණීය .

අටපට්ටම
-------------------
සමචතුරස්‍ර හතර - චාතූර්‍ය් සත්‍යය .
ත්‍රීකෝණ අට - අට ලෝ දහම
රැළි සමුහය - සසර ගමන
උඩ යට හිස්වීම - ඉපදීම හා මරණය .

අට පට්ටම සැදිය යුත්තේ අවබෝධයෙන් යුතුව ආමිස පුජාවේ යෙදීමට මිස තම ද්වෙශසහගත අරමුණු ප්‍රකාශ කිරිමට නොවේ .

තෙරුවණ් සරණ යාමට සිත් පහල වේවා ! .🙏",0
2,lellahutanpage,"වෙ# තියනවා කිව්වා විතරයි කට්ටියම මිසින්..
මොනවා වුනත් තවත් 88/89 වෙන්න නොදුන්න එකනම් ලොකු දෙයක්...",0
3,lellahutanpage,"මිනිස්සු ගේම ඉල්ලනවා,ආණ්ඩුවත
් ගේම නං ගේම කියලා හිටපු උන්ටම ඇමතිකං දෙනවා",0
4,lellahutanpage,ඉන්දියාවේන් ලංකාවට යූරියා මෙට්‍රික් ටොන් 65 000 ක්,0
5,lellahutanpage,"රතිඳු සේනාරත්න නොහොත් රැට්ටා නමින් හැඳින්වෙන පුද්ගලයා ඊයේ ගෝල් ෆේස් එකේදී මාධ්‍ය සාකච්ඡාවක් තියෙනවා.

එතනදි ඒ පුද්ගලයා රනිල් වික්‍රමසිංහ අගමැති ලෙස පත්වීමට විරෝධය පළ කරනවා.

ඒ වගේම රැට්ටා කියනවා ඒ වෙනුවට කරන්න අවශ්‍ය යෝජනා හතක් තමන් ඉදිරිපත් කළාලු සිස්ටම් චේන්ජ් කරන්න.

මම ඔය යෝජනා හත නම් කියෙව්වේ නෑ.

ඕවයේ ඇති අර 19 ක්‍රියාත්මක කරන්න වගේ රටේ රාජ්‍ය දුර්වල කරන ව්‍යවස්ථා වෙනස්කම්, ඒකිය රටක් වෙනුවට එක්සත් රටක් කරන වෙනස්කම්,

රටේ වවන්න, දේශීය දේවල් හදන්න, අපේ මාලු වලින් ලෝකයම දිනමු වගේ හැමදාම කියලා රටේ මිනිස්සු අන්දන, ප්‍රායෝගි නැති ජනප්‍රියවාදී දේවල්.

ඕවා කරලා සිස්ටම් එකක් චේන්ජ් කරන්න පුලුවන් නම් මරු..

හැබැයි රැට්ටා නොදන්න දේ තමයි සිස්ටම් එකක් කියන්නේ බලෙන් පිටින් හො ඇතුලෙන් චේන්ජ් කරන්න පුලුවන් දෙයක් නෙවෙයි.

ඔය හැමෝම ""සිස්ටම්"" කියලා හඳුවන්නේ යම් කිසි රටක්, සමාජයක් දිවෙන චර්යාත්මක සහ සංස්කෘතික පද්ධතිය.

සිස්ටම් එකක් කියන්නේ සමාජයක මිනිස්සු අතරෙන් ගොඩනැගෙන ඒ සමාජයට ආවේණික දෙයක්.

ඒක පිටින් හෝ ඇතුලෙන් වෙනස් කරන්න බෑ.

වෙන රටක සිස්ටම් එකක් ගෙනත් තව රටක තියන්න පුලුවන් නම් ලෝකයේ හැම රටක්ම එංගලන්තයක්, ස්විට්සර්ලන්තයක් වේවි.

ඒත් එහෙම ප්‍රායෝගිකව කරන්න බෑ.

එංගලන්තයේ වෙන සිස්ටම් එකකුත්, අප්‍රිකාවේ තවත් සිස්ටම් එකකුත්, ඉන්දියාවේ වෙනස්ම සිස්ටම් එකකුත් තියෙන්නේ ඒකයි.

සිස්ටම් කියන දේවල් ඒ ඒ රටවල මිනිස්සුන්ගේ චර්යා රටා, සංස්කෘතීන්, ජීව විද්‍යාත්මක සාධක මතින් ස්වාභාවිකව ඉබේම ගොඩ නැගෙන දෙයක්.

සිස්ටම් කවදාවත් චේන්ජ් කරන්න බෑ, සිස්ටම් පරිනාමය වෙනවා. ඒක වෙන්නේ කාලයත් එක්ක.

""සිස්ටම් චේන්ජ්"" දේශපාලන සටන් පාඨයක් විදියට ලස්සනයි.

නමුත් ""සිස්ටම් චේන්ජ්"" කරන්න බෑ. කාලයත් එක්ක ""සිස්ටම් ඉවෝල්"" වෙනවා.

යූටියුබ් කොමඩි වීඩියෝ කරන රැට්ටාලාට ශිෂ්ඨාචාර ගොඩ නැගෙන හැටි, සමාජ ගොඩ නැගෙන හැටි පිළිබඳ දැනුමක් නැති එක ගැන අපි පුදුම වෙන්නෑ.

හැබැයි ඉතින් තමන්ගේ වැඩිහිටි පරම්පරාව නළු නිළියො, ක්‍රීඩකයො පාර්ලිමේන්තු යැව්වාය කියලා ශෝකයෙන් විලාප දෙන ""Wrong Generation"" එකත් තමන් නියෝජනය කරන්න අල්ලගෙන තියෙන්නේ යුටියුබ්කාරයො.

එදා ටීවි එකෙන් විනෝදය සපයපු නළු නිළියො වෙනුවට අද ජනප්‍රිය දුරකථනයෙන් විනෝදය සපයන යුටියුබ්කාරයො ජනතා නියෝජිතයො වෙලා.

වැඩිහිටි පරම්පරාව තෝරපු පබා වෙනුවට සිස්ටම් චේන්ජ් කරන්න කියන අලුත් පරම්පරාව රැට්ටා තෝරනවා, මෝටිවේෂන් අප්පච්චි තෝරනවා, දුලීකා මාරපන තෝරනවා.

දැන් මම කියන දේ හොදටම පැහැදිලියි නේද ?

සිස්ටම් චේන්ජ් වෙන්නෑ. සිස්ටම් චේන්ජ් කරන්නත් බෑ. සිස්ටම් ඉවෝල් වෙනවා විතරයි.

ඉෂාන් ජයසූරිය",0
6,lellahutanpage,"ඇමතිකම් එපා,මට ඕනෙ අගමැතිකම,සජිත් ජනාධිපති ට ලියුමකින් දන්වයි",0
7,lellahutanpage,"කැත උන් තමා කැත වැහෙන්න රැව්ල වවං ඉන්නෙ 😂
දැක්කනෙ ඉරාජ්",0
8,lellahutanpage,මොක කරත් වැරදි 😂,0
9,lellahutanpage,"දූපතට දුක් වෙන ගොඩක් උන්,එහෙම දූපතක් තිබ්බ කියලා දන්නෙත් අද හැබැයි 🥲",0
