,text,time
0,Eva ga tha ladies pullingo va 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2 hours ago (edited)
0,Ida dam ba na edit paakuren😅,2 weeks ago
0,"🙄😳😳
Ennangada ipdi la irukanga 
🙄🙄
Parents laa ena nenaipanga
🙄",4 weeks ago
0,Insta id sollunga guys,1 month ago
0,"Neengallam Indiavin varungala thoongal 😆
Comments pannavangalum than 😆",1 month ago (edited)
0,Or otha thevdiya munda,2 months ago
0,Naara kudhi,2 months ago
0,Munji katama kojam kudhi  katana nalla erekum,2 months ago
0,en anna potta IDHAYATHULLA HIDHAYATHULLA,2 months ago
0,Hii,3 months ago
0,Unga.undaya.katu.wesa,3 months ago
0,Enna app pro,3 months ago
0,Un pundaya kattu dii.,4 months ago
0,Thevidiyaluga,4 months ago
0,Evaingala varuingala thalamurai ah 🤮🤮🤮🤮🤮🤮,4 months ago
0,🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,5 months ago
0,Super ha pesaranga,6 months ago
0,Dp paathaley theriyudhu🤣,5 months ago
0,Insta id,6 months ago
0,Ni yema dhenga,7 months ago
0,Na un pudaiya nakkata,7 months ago
0,Vantavasi kothungalur,7 months ago
0,Ava sollra ungala love panra a,7 months ago
0,En friend oruthan rompo muthula eruka,7 months ago
0,Unga voise super ra eruku,7 months ago
0,Full item's thividiya pola,7 months ago
0,Podi lusu😈😈😈,8 months ago
0,pona peka sonna porikiya pethuvitrukanga,8 months ago
0,😳😳😳,8 months ago
0,PUNDAAKKA,9 months ago
0, @AniTheMemelord  appo na enna solluvena paiyan na peka sonna porukiya pethu vechirikanga,4 months ago
0, @Vishal M  pona peka donna porukiya pethurkka,1 month ago
0, @Vishal M  na apdi tha solluva atha vedio la pesirkaga ivaru solirkaru ne yean pasagala ilukurra,1 month ago
0,"Adjustment ku volunteer ah interest katra prostitutes vachi kittaa enna intha cine field  men ?

Actress thaan venuma ivanungaluku!?

Bayilvan Ranganathan ah ellarum thitaranga, but antha aalu solrathum unmai thaan pola...",1 hour ago (edited)
0,"Kalyani unnoda height minus nee heroine ah act panna..

Character role try panalam la? But athukum adjustment kepanungala ?",1 hour ago
0,The problem is no one naming them and shaming them. Adhu thaan andha adjustment kekuravangalukku advantage a pogudhu. Avangalum Vera yaaru adjust pannuvaanga nu Theda aarambikuraanunga 😔,2 days ago
0,"மருத்துவர்கள் நல்ல வேலை பார்க்கிறாரா?
விவசாயிகள் நல்ல வேலை பார்க்கிறாரா?
உண்மையில் புரிதல் இல்வாத நிலையில் மனிதர்கள்...
பணத்தை தேடி ஓடும் போது பண்புகள் காணாமல் போவது காணமுடிகிறது.",10 days ago
0,சினிமாவில் ஒரு ஆம்பளையும் யோக்கியன் இல்லை,10 days ago
0,சினிமா னா இது தான்...  பொய் சொல்லாம போமா...,11 days ago
0,Intha pillaya chinna pillaya pakrathukum ippavum remba vithyasam ituku,12 days ago
0,என்னென்ன சொல்லுறான் பாலைங்க கம்பிகட்டுன கதையொல்லாம்….,13 days ago
0,Olu vangitu chance ilaa pochu ippadi interview,2 weeks ago
0,வெளிய சும்மா seen podrathaan builtup,2 weeks ago
0,Panitaaalum.,2 weeks ago
0,சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார் ஒரே பீ நாத்தம் சார்,2 weeks ago
0,பொம்பளை பொறுக்கி விஜய பாஸ்கர் நாயை போட்டு தள்ள வேண்டும்,2 weeks ago
0,Ethalam engala namba soldringa?,2 weeks ago
0,விஷால் ஒரு பொம்பள பொறுக்கி,2 weeks ago
0,Naladhey.  Nadakum,2 weeks ago
0,கல்யாணியின் பேச்சு நடிப்பு அனைத்தும் மிகவும் பிடிக்கும்.வாழ்த்துக்கள்....,2 weeks ago
