,text,time
0,தமிழக மீனவர்கள் எல்லை தாண்டி சென்று  ஈழதமிழ் மீனவர்களின் பொருளாதாரங்களை அழித்து அட்டூழியம் செய்வது அண்மைகாலங்களில் அதிகரித்துவருகிறது.,3 months ago
0,"இந்திய மீனவர்கள் கடந்த பத்து வருடத்திற்குமேலாக இலங்கை கடற்பரப்புக்குள் அத்துமீறி வந்து, ஈழதமிழ் மீனவர்களின் பொருளாதாரங்களை அழித்து செல்கிறார்கள். தற்போது இலங்கை கடற்கரைவரை வந்து இந்திய மீனவர்கள் இழுவை படகில் வந்து மீன்பிடிப்பதுடன் ஈழதமிழ் மீனவர்களின் வலைகளையும் அறுத்தெறிந்து வருகிறார்கள். இரண்டு நாட்களுக்கு முன் இழுவைபடகால் மோதி இரண்டு வத்திராயன் மீனவர்களையும் கொலை செய்துள்ளார்கள். இலங்கை அரசாங்கம் அத்துமீறி இலங்கை கடல் பரப்புக்குள் வரும் மிந்தியமீனவர்கள் மீது நடவடிக்கை எடுக்காவிடில், ஈழதமிழ் மீனவர்களே, இந்திய மீனவர்கள் மீது தாக்குதல் நடந்தி அவர்களின் படகுகளை அழிக்கபோகிறோம் என் நேற்று யாழ்ப்பாணம் மற்றும் முல்லைதீவு சமாசங்களின் கூட்டத்தில் முடிவெடுக்கபட்டது.",3 months ago
0,தமிழக மீனவர்களை சுற்றி வளைத்த இலங்கை மீனவர்கள் --> Who is Sri Lankans fishermen.. SriLankan Tamils or SriLankan Singhalese. So only we are seeing them as brother; not them.,3 months ago
0,Sudalai achila sagajam,3 months ago
0,சோத்துக்கே இந்தியா சு×× ஊ××புற உனக்கு இவ்வளோ அதுப்பு இருக்குல்ல.,3 months ago
0,இந்தியா கடற்படையினர் எதற்கு,3 months ago
0,Indian nevy yellaam Pakistan pakkam dha irukkum pola,3 months ago
0,Ooooo,3 months ago
0,Border  thandi  pona  pudika  than  seivanga.,3 months ago
0,ithula ennanga super?,3 months ago
0,Odi oliyim muyarchiyil india kindiya vanthura pora vera mari irukum tamilar irukum oru natilum nulaya mudiyathu,10 days ago
0,Koththa go home,11 days ago
0,கடன் பட்டார் நெஞ்சம் போல் கலங்கினான் இலங்கை வேந்தன் ஆதலால் இந்த ராஜபக்ஷ அரக்கர்கள் தான் காரணம் 😁,12 days ago
0,இலங்கை தமிழருக்கு செய்த பாவம்சும்மாவிடாது,12 days ago
0,"எங்களுடைய உறவுகளின் ஜனாஸாக்களை எரித்ததன் மூலம் ஒட்டு மொத்த உலகத்தில் உள்ள அனைத்து முஸ்லீம்களின் மனங்களையும் எரித்தீர்களே...
அந்த சாபம்.",12 days ago
0,Modi kum varum kaalthil edhe nilamai,12 days ago
0,"மகிந்து உனக்கு எமது ஆழ்ந்த அனு
தாபம். வரலாறு திரும்பாது வரலாற்
ரை நீ திரும்பி பார்க்க வேண்டிய து
காலத்தின் கட்டாயம்.",12 days ago
0,வெளி வந்தால் அடி விழும் மகிந்த தலை மறைவு,12 days ago
0,"அமைதியான இலங்கை இப்படி ஆர்ப்பாட்ட களமாக மாறியுள்ளது மிக்க வருத்தத்தையும், துக்கத்தையும் அளிக்கிறது..... ஆட்சியில் உள்ளவர்கள் மக்களின் குரலுக்கு செவி சாய்க்க வேண்டும்..... அவர்களால் அல்லவோ இவர்கள் வந்தது",12 days ago
0,புத்தரே எங்கள் நாட்டு தெய்வம் என்று கொக்கரித்து விட்டு இந்தியா சென்று திருப்பதி பெருமாளை தரிசனம்செய்தாரே!இருவரும் கைவிட்டனரா?,12 days ago
0,"அன்று முதல் இன்று வரை ""தீ "" வைத்தலில் உலக பிரசித்தி பெற்ற இடம் இலங்கை. அதனால்தான்
சில வருடங்களுக்கு முன்   ரஜனியின் "" தீ"" படம் இலங்கையை மையப்படுத்தி எடுக்கப்பட்டது.🤪",13 days ago
0,விருந்தாளி மரபணு பக்ஷே சகோதரர்களின் டவுசர் கிழிப்பு🤣🤣🤣🤣,13 days ago
0,இதில் ஆமை சீமான் ஒன்றும் செய்த பாடு இல்லையே. .,13 days ago
0,கோத்தயாயாவும் நாட்டை விட்டு விரட்ட. வேண்டும்.,13 days ago
0,Hena gaha piya,13 days ago
0,Nee PAtra waitha Neruppu.....🤫,13 days ago
0,"இலங்கையில் நடந்தது போல்,

நம் பாரத தேசத்தில் இருக்கும் பாரத தேச துரோகிகளான,
திருட்டு விபச்சார ஊடகங்கள்,
காங்கிரஸ்,
கம்யூனிஸ்ட்,
ஆம் ஆத்மி,
திருட்டு திராவிட ஒட்டுமொத்த கும்பல் வி சி க திருமாவளவன், சீமான்,
வேல்முருகன்,
மேற்கு வங்கம் மம்தா பானர்ஜி,
ஆந்திரா ஜெகன் மோகன்,
பீகார் பிரசாந்த் கிஷோர்,
காஷ்மீர் முஸ்லீம் கட்சிகள்,
தெலுங்கானா ஒவைசி,
மற்றும் பாரதத்தில் தேச துரோகிகளாக இருக்கும் சில இந்துக்கள், பல முஸ்லீம்கள்,
பல கிறிஸ்துவர்கள்
ஒட்டு மொத்தமாக அழியும் நாள் விரைவில்.",13 days ago
0,Mulikkura muliya paru thiruttu muli...thirudargal...,13 days ago
0,BASTARD SINHALESE AND RAJABAKSHE,13 days ago
0,THALAIVAR PRABAKARAN,13 days ago
0,இதே குடும்ப ஆட்சி தமிழ்நாட்டை பொய்ப்பிரச்சாரம் செய்து சூறையாடிக்கொண்டிருக்கின்றது. இனியாவது தமிழ்நாட்டு மக்கள் சிந்தித்து செயலாற்றவேண்டும்,13 days ago
0,👍👍👍👍👍😁😁😁😁😁😁,13 days ago
0,"கெட்ட ஆவி இல்லை, நீங்கள் செய்த பாவதத்தின்  விளைவுகள்!!!🔥🔥🔥🔥🔥",13 days ago
0,இலங்கை குடும்ப ஆட்சியால் அழிந்தது.   இலங்கை போல இந்தியா ஆகாமல் இருக்கவேண்டும் என்றல் முதலில் குடும்ப ஆட்சிகளை ஒழியுங்கள்:oops:,13 days ago
0,கொடுங்கோலர்களுக்கு வரலாற்றில் ஏற்படும் கதிதான்இவருக்கும் நடந்திருக்கிறது .மக்கள் சக்தியே வெல்லும்.,13 days ago
0,மதவாதம் கையில் எடுத்தால் எல்லோருக்கும் இதே நிலைதான் புரிந்து நடந்தால் சரி,13 days ago
0,Indian yawell ethu veravel naatakum,13 days ago
0,ஓடி ஒளிந்தே கொண்டான் ஓத்தபயல்..,13 days ago
0,Poikara vikatan news a nambadhiga,13 days ago
0,ராஜ ،(பக்) ஷே அழிவு காலம்,13 days ago
0,செய்த அநியாயங்களுக்கு ஒருதனையாவது உயிரோடு கொழுத்த வேண்டும்.,13 days ago
0,"News nalla analys panni poduga  chumma vaiku vandhdhu ellam podama arakuraya therinjukondu poi kara pirachana pannavugala podhumakkal
Adithapiraguthan mahinda padhavi vilaginan chumma puluvikitu vigadan",13 days ago
0,)),13 days ago
0,"Pillai ya killi vittu, thottilaiyum aattura kootam.",13 days ago
0,"திருட்டு ராஜபக்சேக்கு 
அழியும் காலம் வந்து விட்டது.திருட்டு சீனா நம்பி நாசமாகும். ஜெய்ஹிந்த்",13 days ago
0,"பொது வாழ்க்கைக்கு வந்து குடும்ப நலனை ,தன் வளர்ச்சி,அதிகார துஷ்பிரயோகம் னு இருந்த உலகின் அத்துனை அரசியல்வாதிகளுக்கும்,அதிபர்களுக்கும்,மன்னர்களுக்கும் இறுதியில் இதை விட மிக மோசமாக தான் இருந்திருக்கிறது. ...",13 days ago
0,Neenka thaaney asutha aavikal,13 days ago
0,கடவுள்  இருக்குரா குமாரு 😂😂😂😂🤗🤗🤗,13 days ago
0,மோடிக்கும் இந்நிலை விரைவில் நிகழும்.,13 days ago
0,Gota pakaya,13 days ago
0,Muslimgal iranthu ponal putaikka kudathu erikkanum entru tomba aadiya kuttam ippo anubavikkurarhal iraivan miha periyavan,13 days ago
0,சிறப்பு,13 days ago
0,Modikkam ithai kethi sekkram varum,13 days ago
0,தாலி கட்டிய கணவன் கண்முன்னே மனைவியை கற்பழித்து கொலை செய்த கூட்டம் இது இன்னும் தண்டனை கொடு இறைவா🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,13 days ago
0,கன்னிப்பெண் களை சீரழித்த சாபம்...இது பத்தாது.... இன்னும் இருக்கிறது....மக்கா.... தண்ணீர் இல்லாம சாவிங்கடா நீங்க எல்லாம்.... இசைப்பிரியா அவர்களை பெண் என்றும் பாராமல் நிர்வானமாக சித்ரவதை செய்து கொலை செய்த இலங்கை மண்ணை இயற்கை ஒரு போதும் மன்னிக்காது..... தெய்வமே உன் காதில் விழுந்தது என்பதை எல்லாரையும் நம்ப வை.... இலங்கை மண்ணை முற்றிலும் சாம்பலாக்கி விட்டு... பின்னர் இந்தியாவிற்கு வா....இங்கும் அராஜகம் ஆடுகிறது,13 days ago
0,குடும்ப ஆட்சி நடந்தால் நாடு உருப்படாது என்பதற்கு சமீபத்திய உதாரணம் ஸ்ரீ லங்கா. தமிழர்கள் திமுக காங்கிரஸ்....... போன்ற கட்சிகளை இனி கவனத்துடன் அணுக வேண்டியது காலத்தின் கட்டாயம்.,13 days ago
0,அடுத்தது துரோகி கட்டுமரத்தின் எச்சங்களை துரத்தியடிப்பதே! 💪💪💪💪💪,13 days ago
0,தினை விதைத்தவன் தினை அறுப்பான் வினை விதைத்தவன் வினை அறுப்பான்,13 days ago
0,இவ்வளவு  பதவி வெறியர்களா,13 days ago
0,அங்கு கஷ்டப்பட்டு போராட்டம் நடத்தியது மக்கள்🤨. ஆனா அந்த போராட்டதிலும் கடவுள் பெயரால் சிலர் பங்கு கேட்பார்கள் போல. 🤬ஒரு நல்லது நடக்க கூடாது உடனே எங்க இருந்து கொடி புடிச்சுட்டு வருவாங்கனு தெரியாது. எல்லாம் எங்களால் தான் நடந்தது சொல்லிட்டு 😡,13 days ago
0,எதிரி அழிந்தான்.பரம்பரை பகையாளி காங்கிரசும் முடிகிறது. துரோகி திமுக அழிய நேரம் காத்து கொண்டு இருக்கிறது.இதற்கு தான் காத்திருக்கும் தமிழினம்,13 days ago (edited)
0,எத்தனை பேரை இராணுவம் கொன்றொழிக்க முடியும். மக்கள் வெகுண்டால் நாடு தாங்காது.. இந்தியா இதை பாடமாக எடுத்துக்கொள்ளவேண்டும். இல்லையெனில்  மக்கள் மனதில் எரியும் தீ நிச்சயம் ஒருநாள் வெளிப்படும்,13 days ago (edited)
0,Sethu poda dai purampoku naiya thavedeya paya nasama pochee da vada tamil nadu unai kollatha vedamatan da,13 days ago
0,அன்னாமலை நீ போன இடம் எங்கே விளங்கும் ? முதலில் இலங்கை ராணுவம் இவனை  கைது செய்யப்பட்டு விசாரணைக்கு உட்படுத்த வேண்டும்,13 days ago
0,பற்றவைத்த நெருப்பு குற்றத்திற்கு துணை போனவர் அனைவரையும் எரிக்கும்.,13 days ago
0,Kothanayum aatchil irundhu iraki serupil adiungal,13 days ago
0,மக்கள்.கண்ணீர்.சும்மா.விடாது,13 days ago
0,Ivan moonji partha koduruma iruka.. Sunni thayoli rajapaksa,13 days ago
0,கடவுள் கொடுக்கும் தண்டனையே இது,13 days ago
0,Vilaivaasi yetram inru ilangai naalai India. Vinai vidhaithavan vinai aruppan,13 days ago
0,Evanda farvaa sarieelli,13 days ago
0,Suladai no reply,13 days ago
0,தெய்வம் நின்று கொல்லும் என்பதற்கு நல்ல உதாரணம்,13 days ago
0,சாவு டா நாய்,13 days ago
0,"Irandhavargal anivarin sabam summa vidadhu.Iniyavadhu singargal Tamizhargalai purindhu,equal respect by all means kudukkavedum.",13 days ago (edited)
0,"ஆர்ப்பாட்டம் செய்தால் எதுவும் நடக்காது🤕கண்ணீரும் பசி பட்டினி மட்டுமே மிச்சமாகும்😥😭
                        ஆயுதத்தை கையில் எடுத்து தவறு செய்தவர்களை உடனே தண்டித்து விடுங்கள்🤺 மீண்டும் அந்தத் தவறை ஒரு போதும் நடைபெறாது👍திருப்பி அடியுங்கள்🤜✊🤛

                         மேதகு 💪💪💪",13 days ago
0,முள்ளிவாய்க்கால் ஈழத் தமிழர்களின் உயிர்பலி இன்று  இலங்கை பற்றி எழுதுகிறது♨️♨️♨️,13 days ago
0,Modikkum இது nadakka povathu உறுதி,13 days ago
0,Thodappa kattai rajabakse....,13 days ago
0,Thuroki telungan karuna nithy paramparai tamilnattai vittu viraddi adikkapada vendum##,13 days ago
0,"சீமான்,....தமிழருக்கு செய்த துரோகத்திற்கு ராஜ பக்சேவுக்கு ஏற்பட்ட கதி பார்த்தாயா....? விஜயலட்சுமிக்கு செய்த துரோகத்திற்கு உனக்கும் தண்டனை வருமுன் காலில் விழுந்து மன்னிப்பு கேட்டு  பிராயசித்தம் தேடிகொள்....",13 days ago
